uniq_id,clust8_EV1234
user_116 _ 2021-04-11,1
user_116 _ 2021-04-12,1
user_117 _ 2021-03-30,8
user_117 _ 2021-03-31,8
user_117 _ 2021-04-01,8
user_117 _ 2021-04-02,8
user_117 _ 2021-04-03,1
user_117 _ 2021-04-04,1
user_117 _ 2021-04-05,8
user_117 _ 2021-04-06,8
user_117 _ 2021-04-07,8
user_117 _ 2021-04-08,8
user_117 _ 2021-04-09,8
user_117 _ 2021-04-10,3
user_117 _ 2021-04-11,1
user_117 _ 2021-04-12,8
user_117 _ 2021-04-13,8
user_119 _ 2021-03-31,3
user_119 _ 2021-04-03,3
user_119 _ 2021-04-04,1
user_119 _ 2021-04-05,1
user_12 _ 2021-02-19,8
user_12 _ 2021-02-22,8
user_12 _ 2021-02-23,8
user_12 _ 2021-02-24,8
user_12 _ 2021-03-03,8
user_12 _ 2021-03-05,8
user_12 _ 2021-03-06,1
user_12 _ 2021-03-07,1
user_12 _ 2021-03-08,8
user_12 _ 2021-03-09,8
user_12 _ 2021-03-10,8
user_12 _ 2021-03-11,8
user_12 _ 2021-03-12,8
user_120 _ 2021-04-01,1
user_120 _ 2021-04-02,1
user_120 _ 2021-04-03,3
user_120 _ 2021-04-04,1
user_120 _ 2021-04-05,1
user_120 _ 2021-04-06,1
user_120 _ 2021-04-07,1
user_120 _ 2021-04-08,1
user_120 _ 2021-04-09,1
user_120 _ 2021-04-10,1
user_120 _ 2021-04-11,1
user_120 _ 2021-04-12,1
user_120 _ 2021-04-13,1
user_120 _ 2021-04-14,1
user_120 _ 2021-04-15,1
user_120 _ 2021-04-16,3
user_121 _ 2021-04-02,1
user_121 _ 2021-04-03,3
user_121 _ 2021-04-04,1
user_121 _ 2021-04-05,1
user_121 _ 2021-04-06,8
user_121 _ 2021-04-07,8
user_121 _ 2021-04-09,8
user_121 _ 2021-04-10,1
user_121 _ 2021-04-11,1
user_121 _ 2021-04-12,8
user_121 _ 2021-04-13,8
user_121 _ 2021-04-14,8
user_121 _ 2021-04-15,8
user_121 _ 2021-04-16,8
user_121 _ 2021-04-17,6
user_121 _ 2021-04-18,1
user_121 _ 2021-04-20,8
user_121 _ 2021-04-21,8
user_121 _ 2021-04-22,8
user_122 _ 2021-04-02,1
user_122 _ 2021-04-03,1
user_122 _ 2021-04-04,1
user_122 _ 2021-04-05,1
user_122 _ 2021-04-06,1
user_122 _ 2021-04-07,1
user_122 _ 2021-04-08,1
user_122 _ 2021-04-09,3
user_122 _ 2021-04-10,1
user_122 _ 2021-04-11,1
user_122 _ 2021-04-12,1
user_122 _ 2021-04-13,1
user_122 _ 2021-04-14,1
user_122 _ 2021-04-15,3
user_122 _ 2021-04-16,1
user_122 _ 2021-04-17,3
user_123 _ 2021-04-02,6
user_123 _ 2021-04-03,5
user_123 _ 2021-04-04,1
user_123 _ 2021-04-06,1
user_123 _ 2021-04-08,1
user_123 _ 2021-04-09,1
user_123 _ 2021-04-10,1
user_123 _ 2021-04-11,1
user_123 _ 2021-04-12,1
user_123 _ 2021-04-13,3
user_123 _ 2021-04-14,1
user_123 _ 2021-04-15,3
user_123 _ 2021-04-16,1
user_123 _ 2021-04-17,1
user_123 _ 2021-04-18,1
user_123 _ 2021-04-19,1
user_123 _ 2021-04-21,1
user_123 _ 2021-04-22,1
user_124 _ 2021-04-04,1
user_124 _ 2021-04-05,1
user_124 _ 2021-04-06,1
user_124 _ 2021-04-09,1
user_124 _ 2021-04-10,3
user_124 _ 2021-04-11,1
user_124 _ 2021-04-12,1
user_124 _ 2021-04-13,1
user_124 _ 2021-04-14,1
user_124 _ 2021-04-15,1
user_124 _ 2021-04-16,1
user_125 _ 2021-04-06,8
user_125 _ 2021-04-07,8
user_125 _ 2021-04-08,6
user_125 _ 2021-04-09,8
user_125 _ 2021-04-10,3
user_125 _ 2021-04-11,3
user_125 _ 2021-04-12,8
user_125 _ 2021-04-13,8
user_125 _ 2021-04-14,6
user_125 _ 2021-04-15,8
user_125 _ 2021-04-16,8
user_125 _ 2021-04-17,1
user_125 _ 2021-04-18,1
user_125 _ 2021-04-19,8
user_125 _ 2021-04-20,8
user_125 _ 2021-04-21,8
user_126 _ 2021-04-09,7
user_126 _ 2021-04-10,3
user_126 _ 2021-04-11,6
user_126 _ 2021-04-12,8
user_126 _ 2021-04-14,7
user_126 _ 2021-04-15,1
user_126 _ 2021-04-16,8
user_126 _ 2021-04-17,3
user_126 _ 2021-04-18,3
user_126 _ 2021-04-19,8
user_126 _ 2021-04-20,8
user_127 _ 2021-04-06,8
user_127 _ 2021-04-07,6
user_127 _ 2021-04-08,6
user_127 _ 2021-04-09,3
user_127 _ 2021-04-10,6
user_127 _ 2021-04-11,5
user_127 _ 2021-04-12,1
user_128 _ 2021-04-06,1
user_128 _ 2021-04-07,1
user_129 _ 2021-04-07,1
user_129 _ 2021-04-08,1
user_129 _ 2021-04-09,1
user_129 _ 2021-04-10,1
user_129 _ 2021-04-11,8
user_129 _ 2021-04-12,1
user_129 _ 2021-04-14,1
user_129 _ 2021-04-15,1
user_129 _ 2021-04-16,1
user_129 _ 2021-04-17,1
user_129 _ 2021-04-18,1
user_129 _ 2021-04-19,1
user_129 _ 2021-04-20,1
user_129 _ 2021-04-21,1
user_129 _ 2021-04-22,1
user_129 _ 2021-04-23,1
user_129 _ 2021-04-24,1
user_13 _ 2021-02-19,8
user_13 _ 2021-02-20,5
user_13 _ 2021-02-21,5
user_13 _ 2021-02-22,8
user_13 _ 2021-02-24,8
user_13 _ 2021-02-25,8
user_13 _ 2021-02-26,3
user_13 _ 2021-02-27,8
user_13 _ 2021-02-28,1
user_13 _ 2021-03-01,1
user_13 _ 2021-03-02,8
user_13 _ 2021-03-03,1
user_13 _ 2021-03-04,1
user_13 _ 2021-03-05,3
user_13 _ 2021-03-06,3
user_13 _ 2021-03-07,8
user_130 _ 2021-04-07,3
user_130 _ 2021-04-08,1
user_130 _ 2021-04-09,1
user_130 _ 2021-04-10,3
user_130 _ 2021-04-13,1
user_130 _ 2021-04-14,1
user_130 _ 2021-04-15,1
user_130 _ 2021-04-16,1
user_130 _ 2021-04-17,3
user_130 _ 2021-04-18,1
user_130 _ 2021-04-19,1
user_130 _ 2021-04-20,1
user_131 _ 2021-04-06,8
user_131 _ 2021-04-07,8
user_131 _ 2021-04-08,3
user_131 _ 2021-04-09,8
user_131 _ 2021-04-10,3
user_131 _ 2021-04-11,3
user_131 _ 2021-04-12,1
user_131 _ 2021-04-13,8
user_131 _ 2021-04-14,8
user_131 _ 2021-04-15,8
user_131 _ 2021-04-16,8
user_131 _ 2021-04-17,3
user_131 _ 2021-04-18,3
user_132 _ 2021-04-06,1
user_132 _ 2021-04-07,1
user_132 _ 2021-04-08,1
user_132 _ 2021-04-09,1
user_132 _ 2021-04-10,3
user_132 _ 2021-04-11,1
user_132 _ 2021-04-12,1
user_132 _ 2021-04-13,1
user_132 _ 2021-04-14,1
user_132 _ 2021-04-15,1
user_132 _ 2021-04-16,1
user_132 _ 2021-04-17,1
user_132 _ 2021-04-18,1
user_132 _ 2021-04-19,1
user_132 _ 2021-04-20,1
user_133 _ 2021-04-06,8
user_133 _ 2021-04-07,8
user_133 _ 2021-04-08,8
user_133 _ 2021-04-09,8
user_133 _ 2021-04-10,1
user_133 _ 2021-04-11,1
user_133 _ 2021-04-12,8
user_133 _ 2021-04-13,8
user_133 _ 2021-04-14,8
user_133 _ 2021-04-15,8
user_133 _ 2021-04-16,8
user_133 _ 2021-04-17,1
user_133 _ 2021-04-18,6
user_133 _ 2021-04-19,8
user_135 _ 2021-04-11,5
user_135 _ 2021-04-12,7
user_135 _ 2021-04-13,7
user_135 _ 2021-04-14,7
user_135 _ 2021-04-15,7
user_135 _ 2021-04-16,7
user_135 _ 2021-04-17,7
user_135 _ 2021-04-18,7
user_135 _ 2021-04-20,5
user_135 _ 2021-04-21,7
user_135 _ 2021-04-22,7
user_135 _ 2021-04-23,7
user_135 _ 2021-04-24,7
user_135 _ 2021-04-26,7
user_135 _ 2021-04-27,7
user_138 _ 2021-04-08,5
user_138 _ 2021-04-09,6
user_138 _ 2021-04-10,3
user_138 _ 2021-04-11,1
user_138 _ 2021-04-12,1
user_138 _ 2021-04-13,8
user_138 _ 2021-04-14,8
user_138 _ 2021-04-15,1
user_138 _ 2021-04-16,8
user_138 _ 2021-04-17,3
user_138 _ 2021-04-18,1
user_138 _ 2021-04-19,1
